dataset,scenario,data_seed,split_seed,model,rank,edge,order,is_true_edge
dry_bean_uci,dry_bean_uci,89,89,L1-full,1,9-10,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,2,10-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,3,3-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,4,1-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,5,7-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,6,9-10-12,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,7,12-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,8,9-10-15,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,9,12-13,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,10,2-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,11,10-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,12,6-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,13,0-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,14,4-11-14,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,15,9-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,16,13-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,17,1-10,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,18,3-7-12,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,19,3-10,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,20,1-9-10,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,21,4-5-11,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,22,1-3-12,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,23,1-3,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,24,4-5-14,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,25,5-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,26,5-11-14,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,27,3-9-10,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,28,14-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,29,10-13,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,30,3-7,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,31,11-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,32,1-7,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,33,1-7-12,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,34,9-10-13,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,35,7-10,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,36,5-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,37,7-9-10,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,38,12-14,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,39,11-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,40,9-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,41,2-3,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,42,2-7-12,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,43,3-6,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,44,9-10-14,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,45,0-3,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,46,5-9-10,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,47,7-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,48,3-10-12,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,49,9-10-11,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,50,3-13,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,51,4-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,52,1-10-12,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,53,8-10,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,54,1-2,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,55,1-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,56,1-6,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,57,0-1,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,58,1-13,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,59,2-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,60,2-9-10,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,61,1-2-12,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,62,5-13,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,63,2-3-12,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,64,7-13,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,65,4-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,66,2-7,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,67,3-6-12,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,68,0-3-12,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,69,11-14-15,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,70,4-11-13,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,71,2-10,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,72,0-6,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,73,3-15,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,74,12-13-15,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,75,6-7,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,76,0-7,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,77,4-11-15,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,78,4-9-10,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,79,4-13-14,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,80,4-14-15,3,
dry_bean_uci,dry_bean_uci,89,89,L1-full,81,8-12,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,82,6-10,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,83,2-13,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,84,0-10,2,
dry_bean_uci,dry_bean_uci,89,89,L1-full,85,0-7-12,3,
