dataset,scenario,data_seed,split_seed,model,rank,edge,order,is_true_edge
dry_bean_uci,dry_bean_uci,71,71,L1-full,1,9-10,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,2,10-12,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,3,3-12,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,4,1-12,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,5,7-12,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,6,9-10-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,7,9-15,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,8,12-13,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,9,2-12,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,10,12-15,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,11,9-10-15,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,12,6-12,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,13,0-12,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,14,3-7-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,15,4-11-14,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,16,10-15,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,17,1-3-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,18,8-10,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,19,10-13,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,20,1-10,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,21,1-7-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,22,3-9-10,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,23,13-15,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,24,3-10,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,25,4-5-11,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,26,1-9-10,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,27,1-3,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,28,9-10-13,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,29,4-5-14,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,30,5-11-14,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,31,3-13,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,32,3-7,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,33,2-7-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,34,7-9-10,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,35,14-15,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,36,5-12,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,37,2-3-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,38,11-15,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,39,1-7,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,40,0-3-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,41,3-6-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,42,5-13,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,43,1-2-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,44,7-10,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,45,1-13,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,46,2-3,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,47,3-6,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,48,0-3,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,49,7-13,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,50,9-12,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,51,0-6,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,52,1-10-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,53,5-15,2,
dry_bean_uci,dry_bean_uci,71,71,L1-full,54,0-7-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,55,6-7-12,3,
dry_bean_uci,dry_bean_uci,71,71,L1-full,56,1-6,2,
